"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Mesa County, CO"	"08077"	32	147851	21.6	21.8
	"Montrose County, CO"	"08085"	11	41535	Unreliable	Unreliable
	"Pueblo County, CO"	"08101"	36	157846	22.8	22.4
	"Weld County, CO"	"08123"	32	248193	12.9	13.5
	"Fairfield County, CT"	"09001"	61	910421	6.7	6.5
	"Hartford County, CT"	"09003"	96	891667	10.8	10.7
	"Litchfield County, CT"	"09005"	19	190015	Unreliable	Unreliable
	"Middlesex County, CT"	"09007"	11	165607	Unreliable	Unreliable
	"New Haven County, CT"	"09009"	67	860025	7.8	7.6
	"New London County, CT"	"09011"	25	273630	9.1	8.7
	"Tolland County, CT"	"09013"	22	152330	14.4	13.1
	"Windham County, CT"	"09015"	19	118112	Unreliable	Unreliable
	"Kent County, DE"	"10001"	21	160081	13.1	13.5
	"New Castle County, DE"	"10003"	63	536898	11.7	11.2
	"Sussex County, DE"	"10005"	23	194751	11.8	11.4
	"District of Columbia, DC"	"11001"	31	592228	5.2	4.8
	"Alachua County, FL"	"12001"	28	246657	11.4	12.5
	"Bay County, FL"	"12005"	40	167464	23.9	23.0
	"Brevard County, FL"	"12009"	106	542109	19.6	18.4
	"Broward County, FL"	"12011"	233	1733310	13.4	12.6
	"Charlotte County, FL"	"12015"	22	159629	13.8	13.7
	"Citrus County, FL"	"12017"	31	141381	21.9	23.9
	"Clay County, FL"	"12019"	41	189101	21.7	21.0
	"Collier County, FL"	"12021"	52	318485	16.3	14.3
	"Columbia County, FL"	"12023"	13	67412	Unreliable	Unreliable
	"Duval County, FL"	"12031"	148	859795	17.2	17.0
	"Escambia County, FL"	"12033"	43	297015	14.5	14.4
	"Flagler County, FL"	"12035"	17	94700	Unreliable	Unreliable
	"Hernando County, FL"	"12053"	39	171950	22.7	22.0
	"Highlands County, FL"	"12055"	23	98956	23.2	17.4
	"Hillsborough County, FL"	"12057"	183	1214050	15.1	14.8
	"Indian River County, FL"	"12061"	24	137016	17.5	15.6
	"Lake County, FL"	"12069"	53	295511	17.9	15.5
	"Lee County, FL"	"12071"	105	612297	17.1	15.3
