"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Murray County, OK"	"40099"	24	13663	175.7	130.2
	"Muskogee County, OK"	"40101"	119	70596	168.6	138.8
	"Noble County, OK"	"40103"	18	11522	Unreliable	Unreliable
	"Nowata County, OK"	"40105"	13	10611	Unreliable	Unreliable
	"Okfuskee County, OK"	"40107"	23	12358	186.1	156.5
	"Oklahoma County, OK"	"40109"	829	741781	111.8	110.9
	"Okmulgee County, OK"	"40111"	85	39625	214.5	171.5
	"Osage County, OK"	"40113"	60	47917	125.2	99.7
	"Ottawa County, OK"	"40115"	41	32236	127.2	98.3
	"Pawnee County, OK"	"40117"	29	16474	176.0	127.8
	"Payne County, OK"	"40119"	69	78399	88.0	103.3
	"Pittsburg County, OK"	"40121"	71	45048	157.6	121.0
	"Pontotoc County, OK"	"40123"	51	37958	134.4	115.2
	"Pottawatomie County, OK"	"40125"	101	70760	142.7	125.8
	"Pushmataha County, OK"	"40127"	12	11205	Unreliable	Unreliable
	"Rogers County, OK"	"40131"	92	88367	104.1	92.5
	"Seminole County, OK"	"40133"	55	25450	216.1	173.6
	"Sequoyah County, OK"	"40135"	43	41398	103.9	90.3
	"Stephens County, OK"	"40137"	75	44779	167.5	124.6
	"Texas County, OK"	"40139"	14	21498	Unreliable	Unreliable
	"Tillman County, OK"	"40141"	18	7822	Unreliable	Unreliable
	"Tulsa County, OK"	"40143"	643	613816	104.8	101.1
	"Wagoner County, OK"	"40145"	78	75030	104.0	96.8
